trajectory,ref_size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
rubble,0 to 5,0.4,0.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
rubble,5 to 10,-0.6,-0.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0
rubble,10 to 15,-0.6,-0.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0
rubble,15 to 20,-0.3,-0.3,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0
rubble,20 to 25,-0.3,-0.3,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0
rubble,25 to 30,-0.3,-0.3,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0
rubble,30 to 35,-0.3,-0.3,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0
rubble,35 to 40,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0
rubble,40 to 45,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0
rubble,45 to 50,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0
algae,0 to 5,-0.2,-0.2,-0.2,-0.2,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0
algae,5 to 10,-0.2,-0.2,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0
algae,10 to 15,-0.2,-0.2,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0
algae,15 to 20,-0.12,-0.12,-0.12,-0.12,0,0,0,0,0,0,0,0,0,0,0
algae,20 to 25,-0.12,-0.12,-0.12,-0.12,0,0,0,0,0,0,0,0,0,0,0
algae,25 to 30,-0.12,-0.12,-0.12,-0.12,0,0,0,0,0,0,0,0,0,0,0
algae,30 to 35,-0.02,-0.02,-0.02,-0.02,0,0,0,0,0,0,0,0,0,0,0
algae,35 to 40,-0.02,-0.02,-0.02,-0.02,0,0,0,0,0,0,0,0,0,0,0
algae,40 to 45,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
algae,45 to 50,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
recovery,0 to 5,-0.33,-0.33,-0.33,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
recovery,5 to 10,-0.26,-0.26,-0.26,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
recovery,10 to 15,-0.26,-0.26,-0.26,0,0.15,0.15,0.15,0.15,0.15,0,0,0,0,0,0
recovery,15 to 20,-0.2,-0.2,-0.2,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0
recovery,20 to 25,-0.2,-0.2,-0.2,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0
recovery,25 to 30,-0.2,-0.2,-0.2,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0
recovery,30 to 35,-0.2,-0.2,-0.2,0,0.15,0.15,0.15,0.15,0.15,0,0,0,0,0,0
recovery,35 to 40,-0.04,-0.04,-0.04,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
recovery,40 to 45,-0.02,-0.02,-0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
recovery,45 to 50,-0.02,-0.02,-0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
